Team,Count,Auto Avg Fuel,Auto Climb (max, %),Tele Climb (max, %),Teleop Avg Fuel,Total Avg Fuel,Matches Scouted,Died (count/matches),Defense
10936,22,1.77,0, 0.0%,0, 0.0%,8.36,10.14,12/12,0/12,None/Bad
11024,22,0.41,0, 0.0%,0, 0.0%,10,10.41,12/12,0/12,OK
1160,13,5.31,0, 0.0%,0, 0.0%,66.77,72.08,12/12,0/12,None/Bad
1388,17,0.29,0, 0.0%,0, 0.0%,41.24,41.53,12/12,0/12,None/Bad
1538,21,16.1,0, 0.0%,0, 0.0%,53.19,69.29,12/12,0/12,OK
1661,20,0,0, 0.0%,0, 0.0%,10.25,10.25,12/12,0/12,OK
192,22,0.77,0, 0.0%,1, 9.1%,6.45,7.23,12/12,0/12,None/Bad
22,22,0,0, 0.0%,0, 0.0%,0,0,12/12,0/12,None/Bad
3309,21,0,0, 0.0%,0, 0.0%,1,1,12/12,0/12,OK
3501,19,11.37,0, 0.0%,0, 0.0%,75.63,87,12/12,0/12,None/Bad
3512,21,17.52,1, 28.6%,1, 23.8%,79.81,97.33,12/12,0/12,None/Bad
3925,17,1.29,0, 0.0%,0, 0.0%,8,9.29,12/12,0/12,OK
4414,20,44.8,0, 0.0%,0, 0.0%,255.35,300.15,12/12,0/12,None/Bad
4711,23,0,0, 0.0%,0, 0.0%,0,0,12/12,0/12,OK
5012,22,4.73,1, 13.6%,1, 18.2%,17.77,22.5,12/12,0/12,OK
5136,22,3.64,1, 45.5%,1, 45.5%,37.18,40.82,12/12,0/12,None/Bad
5199,19,17.74,0, 0.0%,0, 0.0%,65.16,82.89,12/12,0/12,None/Bad
5285,22,3.09,0, 0.0%,0, 0.0%,8.32,11.41,12/12,0/12,None/Bad
5500,18,0,0, 0.0%,0, 0.0%,0.44,0.44,12/12,0/12,None/Bad
5869,23,0,0, 0.0%,0, 0.0%,1.57,1.57,12/12,0/12,OK
589,20,0,0, 0.0%,1, 10.0%,0.05,0.05,12/12,0/12,OK
599,17,18.65,0, 0.0%,0, 0.0%,95.65,114.29,12/12,0/12,None/Bad
6036,16,32.56,0, 0.0%,0, 0.0%,88.44,121,12/12,0/12,None/Bad
6060,23,0.61,0, 0.0%,0, 0.0%,2.3,2.91,12/12,0/12,OK
6560,18,12.11,0, 0.0%,0, 0.0%,56,68.11,12/12,0/12,None/Bad
6764,21,0.24,0, 0.0%,0, 0.0%,0.05,0.29,12/12,0/12,OK
691,18,1.5,0, 0.0%,0, 0.0%,0.89,2.39,12/12,0/12,OK
6934,24,1.67,0, 0.0%,0, 0.0%,24.58,26.25,12/12,0/12,None/Bad
7323,20,0.75,0, 0.0%,1, 25.0%,9.4,10.15,12/12,0/12,None/Bad
7327,18,0.17,0, 0.0%,0, 0.0%,0.39,0.56,12/12,0/12,OK
7415,16,22.13,0, 0.0%,0, 0.0%,92.69,114.81,12/12,0/12,None/Bad
8521,15,0.2,0, 0.0%,0, 0.0%,9.6,9.8,12/12,0/12,None/Bad
8533,17,0.18,0, 0.0%,0, 0.0%,3.71,3.88,12/12,0/12,None/Bad
9271,22,0.5,0, 0.0%,1, 22.7%,3,3.5,12/12,0/12,OK
9520,17,0,0, 0.0%,0, 0.0%,0.59,0.59,12/12,0/12,OK
973,19,33.42,0, 0.0%,0, 0.0%,100.11,133.53,12/12,0/12,None/Bad
